group	fill	clickSelects
674	#FFFFFF	788
675	#FFFFFF	788
676	#FFFFFF	788
677	#FFFFFF	788
678	#FFFFFF	788
679	#FFFFFF	3529
680	#FFFFFF	3529
681	#FFFFFF	488
682	#FFFFFF	3529
683	#FFFFFF	788
684	#FFFFFF	788
685	#FFFFFF	788
686	#FFFFFF	788
687	#FFFFFF	788
688	#FFFFFF	788
689	#FFFFFF	623
690	#FFFFFF	788
691	#FFFFFF	788
692	#FFFFFF	488
693	#FFFFFF	788
694	#FFFFFF	623
695	#FFFFFF	623
696	#FFFFFF	623
697	#FFFFFF	623
698	#FFFFFF	623
699	#FFFFFF	788
700	#FFFFFF	788
701	#FFFFFF	623
703	#FFFFFF	488
704	#FFFFFF	488
705	#FFFFFF	488
706	#FFFFFF	488
707	#FFFFFF	2630
708	#FFFFFF	488
709	#FFFFFF	1703
710	#FFFFFF	488
711	#FFFFFF	2630
712	#FFFFFF	2630
713	#FFFFFF	2630
714	#FFFFFF	2630
715	#FFFFFF	2630
716	#FFFFFF	2630
717	#FFFFFF	2630
718	#FFFFFF	2630
719	#FFFFFF	2630
720	#FFFFFF	2630
721	#FFFFFF	1337
722	#FFFFFF	788
723	#FFFFFF	788
724	#FFFFFF	788
725	#FFFFFF	788
726	#FFFFFF	788
727	#FFFFFF	788
728	#FFFFFF	788
729	#FFFFFF	788
730	#FFFFFF	3529
731	#FFFFFF	3529
732	#FFFFFF	1337
733	#FFFFFF	3529
734	#FFFFFF	3529
735	#FFFFFF	788
736	#FFFFFF	788
737	#FFFFFF	623
738	#FFFFFF	788
739	#FFFFFF	623
740	#FFFFFF	788
741	#FFFFFF	623
742	#FFFFFF	623
743	#FFFFFF	488
744	#FFFFFF	788
745	#FFFFFF	623
746	#FFFFFF	623
747	#FFFFFF	623
748	#FFFFFF	788
749	#FFFFFF	788
750	#FFFFFF	623
751	#FFFFFF	623
752	#FFFFFF	623
753	#FFFFFF	1337
754	#FFFFFF	1337
755	#FFFFFF	2630
756	#FFFFFF	2630
757	#FFFFFF	2630
759	#FFFFFF	488
760	#FFFFFF	488
761	#FFFFFF	2630
762	#FFFFFF	2630
763	#FFFFFF	2630
764	#FFFFFF	2630
765	#FFFFFF	2630
766	#FFFFFF	2630
767	#FFFFFF	2630
768	#FFFFFF	2630
769	#FFFFFF	2630
770	#FFFFFF	2630
771	#FFFFFF	1337
772	#FFFFFF	788
773	#FFFFFF	788
774	#FFFFFF	788
775	#FFFFFF	788
776	#FFFFFF	788
777	#FFFFFF	788
778	#FFFFFF	788
779	#FFFFFF	3529
780	#FFFFFF	3529
781	#FFFFFF	3529
782	#FFFFFF	1337
783	#FFFFFF	788
784	#FFFFFF	3529
785	#FFFFFF	788
786	#FFFFFF	788
787	#FFFFFF	788
788	#FFFFFF	623
789	#FFFFFF	623
790	#FFFFFF	623
791	#FFFFFF	623
792	#FFFFFF	623
793	#FFFFFF	488
794	#FFFFFF	623
795	#FFFFFF	623
796	#FFFFFF	623
797	#FFFFFF	623
798	#FFFFFF	623
799	#FFFFFF	788
800	#FFFFFF	788
801	#FFFFFF	623
802	#FFFFFF	623
804	#FFFFFF	1337
805	#FFFFFF	1337
806	#FFFFFF	1337
807	#FFFFFF	2630
808	#FFFFFF	2630
809	#FFFFFF	488
810	#FFFFFF	488
811	#FFFFFF	1337
812	#FFFFFF	2630
813	#FFFFFF	2630
814	#FFFFFF	2630
815	#FFFFFF	2630
816	#FFFFFF	2630
817	#FFFFFF	2630
818	#FFFFFF	2630
819	#FFFFFF	2630
820	#FFFFFF	2630
821	#FFFFFF	788
822	#FFFFFF	488
823	#FFFFFF	788
824	#FFFFFF	788
825	#FFFFFF	788
826	#FFFFFF	788
827	#FFFFFF	788
828	#FFFFFF	788
829	#FFFFFF	788
830	#FFFFFF	3529
831	#FFFFFF	3529
832	#FFFFFF	3529
833	#FFFFFF	1337
834	#FFFFFF	788
835	#FFFFFF	788
836	#FFFFFF	788
837	#FFFFFF	788
838	#FFFFFF	788
839	#FFFFFF	623
840	#FFFFFF	623
841	#FFFFFF	623
842	#FFFFFF	623
843	#FFFFFF	623
844	#FFFFFF	1337
845	#FFFFFF	623
846	#FFFFFF	623
847	#FFFFFF	788
848	#FFFFFF	788
849	#FFFFFF	788
850	#FFFFFF	788
851	#FFFFFF	788
852	#FFFFFF	623
853	#FFFFFF	623
854	#FFFFFF	1337
855	#FFFFFF	2630
856	#FFFFFF	2630
857	#FFFFFF	2630
858	#FFFFFF	2630
860	#FFFFFF	488
861	#FFFFFF	488
862	#FFFFFF	2630
863	#FFFFFF	2630
864	#FFFFFF	2630
865	#FFFFFF	2630
866	#FFFFFF	2630
867	#FFFFFF	2630
868	#FFFFFF	2630
869	#FFFFFF	2630
870	#FFFFFF	2630
871	#FFFFFF	2630
872	#FFFFFF	488
873	#FFFFFF	788
874	#FFFFFF	788
875	#FFFFFF	788
876	#FFFFFF	788
877	#FFFFFF	788
878	#FFFFFF	788
879	#FFFFFF	788
880	#FFFFFF	788
881	#FFFFFF	3529
882	#FFFFFF	3529
883	#FFFFFF	488
884	#FFFFFF	788
885	#FFFFFF	788
886	#FFFFFF	788
887	#FFFFFF	788
888	#FFFFFF	788
889	#FFFFFF	788
890	#FFFFFF	623
891	#FFFFFF	623
892	#FFFFFF	623
893	#FFFFFF	623
894	#FFFFFF	1337
895	#FFFFFF	623
896	#FFFFFF	623
897	#FFFFFF	623
898	#FFFFFF	788
899	#FFFFFF	788
900	#FFFFFF	788
901	#FFFFFF	788
902	#FFFFFF	788
903	#FFFFFF	788
905	#FFFFFF	1337
906	#FFFFFF	2630
907	#FFFFFF	2630
908	#FFFFFF	2630
909	#FFFFFF	2630
910	#FFFFFF	488
911	#FFFFFF	488
912	#FFFFFF	488
913	#FFFFFF	2630
914	#FFFFFF	2630
915	#FFFFFF	2630
916	#FFFFFF	2630
917	#FFFFFF	2630
918	#FFFFFF	2630
919	#FFFFFF	2630
920	#FFFFFF	2630
921	#FFFFFF	2630
922	#FFFFFF	788
923	#FFFFFF	488
924	#FFFFFF	788
925	#FFFFFF	788
926	#FFFFFF	788
927	#FFFFFF	788
928	#FFFFFF	788
929	#FFFFFF	788
930	#FFFFFF	3529
